company_name,job_state,min_salary,max_salary,python_yn,R_yn,spark,aws,excel,data_scientist,data_engineer,senior_data_scientist,data_analyst,senior_data_engineer,min_size,max_size,min_revenue,max_revenue,private_company,public_company,nonprofit,subsidiary_or_business
"Tecolote Research
", NM,53.0,91.0,1,0,0,0,1,1,0,0,0,0,501,1000,50.0,100.0,1,0,0,0
"University of Maryland Medical System
", MD,63.0,112.0,1,0,0,0,0,0,0,0,0,0,10000,20000,2000.0,5000.0,0,0,0,0
"KnowBe4
", FL,80.0,90.0,1,0,1,0,1,1,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"PNNL
", WA,56.0,97.0,1,0,0,0,0,1,0,0,0,0,1001,5000,500.0,1000.0,0,0,0,0
"Affinity Solutions
", NY,86.0,143.0,1,0,0,0,1,1,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"CyrusOne
", TX,71.0,119.0,1,0,0,1,1,1,0,0,0,0,201,500,1000.0,2000.0,0,1,0,0
"ClearOne Advantage
", MD,54.0,93.0,0,0,0,0,1,1,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Logic20/20
", CA,86.0,142.0,1,0,1,1,1,1,0,0,0,0,201,500,25.0,50.0,1,0,0,0
"Rochester Regional Health
", NY,38.0,84.0,0,0,0,0,0,0,0,0,0,0,10000,20000,500.0,1000.0,0,0,0,0
"<intent>
", NY,120.0,160.0,1,0,1,0,0,1,0,0,0,0,51,200,100.0,500.0,1,0,0,0
"Wish
", CA,126.0,201.0,1,0,0,0,0,1,0,0,0,0,501,1000,1000.0,2000.0,1,0,0,0
"ManTech
", VA,64.0,106.0,0,0,0,0,0,1,0,0,0,0,5001,10000,1000.0,2000.0,0,1,0,0
"Walmart
", TX,106.0,172.0,0,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Yesler
", WA,46.0,85.0,1,0,1,1,1,0,0,0,1,0,201,500,20.1,100.0,1,0,0,0
"Takeda Pharmaceuticals
", MA,83.0,144.0,1,0,1,0,0,1,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Audible
", NJ,102.0,190.0,0,0,0,0,1,0,0,0,0,0,1001,5000,100.1,1000.0,0,0,0,1
"Blueprint Medicines
", MA,67.0,137.0,0,0,0,0,1,0,0,0,0,0,51,200,1.0,5.0,0,1,0,0
"h2o.ai
", CA,118.0,189.0,1,0,1,1,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Nuna
", CA,110.0,175.0,0,0,0,0,0,0,0,0,0,0,51,200,5.1,40.0,1,0,0,0
